overall_rates,status,title,date,position,location,pros,cons
1,"Former Employee, more than 1 year",AWFUL place to work.,02-Jul-14, Sales Assistant ,None,Good pay rate and commission,"Short staffed all the time. Managers threaten people with file notes, and these are the same people that spend their time with their mobile phones in the office all day. After a year working there and trying to progress, I have noticed that everyone in higher places are related in one way or another. Managers are really childish and don't know the meaning of being professional at all. If managers don't like you (or if you're not friends or not related to them) they will not allow you to have requested days or any life outside of work or weekends off."
2,Former Employee,Not really good experience.,22-Feb-16, Sales Assistant,"London, England","staff discount, team members and well... that's it.","bad work/life balance, sometimes they cut your overtime hours (you have to be very careful while checking hours! one day I worked and had a day off written on the comission sheet even though I signed!). The management was awful and rude. No career opportunities if you werent spanish/italian. Sometimes the managers were talking in Spanish even though they were people not speaking spanish around them."
2,Current Employee,cashier with added responsibilities,23-May-17, Anonymous Employee ,None,"Great pay with commission, most people that work there tend be friendly, when opportunities do come up they prefer to hire from the store where the vacancy is rather than externally","Management talk to staff poorly on a regular basis, working hours can be demanding, opportunities to progress are fairly poor due to no real structure other than jumping from a sales assistant to a manager"
1,"Current Employee, less than 1 year",I still don't know how to feel about Zara.,04-Mar-18, Sales Associate,"Manchester, England","I guess 25% discount,which gives you at least something good from that store. I really have nothing else good to say about the store,just trying to hit 20 words minimum.:)","I don't feel payed enough for the work that I do. Everyone speaks Spanish and so it is easier for you to get a better place if you're Spanish. The managers are super rude. Most of them imagine to be fashion gurus and you're a ""peasant "" Customers are the only ones that cheer you up really, even though it should not be like that,right?"
2,"Current Employee, less than 1 year",Run to the hills,30-Nov-16, Sales Assistant,"London, England",".Very fast paced enviroment,so time flies .One hour lunch (non paid) + 20 minutes break (paid) for the 8 hours shift .",".No training .The job is basically folding and picking up clothes from the floor  but thats mostly the costumers fault .No costumer service at all,because you just have to fold fold fold and run run run .The uniform shoes are the most uncomfortable things ever. Wearing an iron ball and chain would be better."
3,"Former Employee, less than 1 year",Poor Work Atmosphere,19-Aug-18, Sales Assistant,"London, England",Good payment with commission every month. Rigorous with giving staff 2 days off per week and do not work more than 5 days in a row.,The atmosphere at work is terrible. Everyone is treating each other like they are in a fight to reach something. Everyone looks frustrated. They are always in a bad mood and the costumer service is also very bad.
3,Former Employee,Zara,08-Jun-16, Sales Associate/Cashier,"Leeds, England","Friendly coworkers , good shifts, 25% discount , never late with the pay, it doesnt require perfect english, staff changes all the time","In comparison with other clothing stores the pay is not as good.They dont give cashier contracts after a number of cashiers ,only sales assistent ones .Some coworkers speak other languages at times and it is a little uncomfortable."
2,"Former Employee, less than 1 year","Poorly organised, no training and a high level of service and presentation required",08-Nov-13, Sales Assistant,"Canterbury, England","Staff discount, exciting fashion brand to work for.",A lot is expected of sales assistants with poor organisation of stores and not much training required.
3,"Current Employee, more than 1 year",Responsible cashier,03-Oct-17, Responsible Cashier,"London, England","It helps you learn how to work in a very hard and fast place and how to manage different tasks that you have to do at the same time in a very short period and, of course, it helps you increase your selling abilities and your customer service","it is an extremely competitive place, really stressful and the money you get is not equal to the amount of effort"
1,"Former Employee, less than 1 year","Hectic, stressful, no time for a family life",10-Mar-14, Cashier,"New York, NY",great if you love clothes and fashion,"Terrible management, not trained to do their job and doesn't know how to talk to staff, squeezing all the profits out of the company and they give only 15% discount to the staff  NOT ENOUGH, job is very stressful and hectic, carry heavy boxes, you need to be always available, no life, no chances for other job. You come for part time job 20 hours and end up doing 45 hours a week if you refuse forget about extending your contract..."
4,"Current Employee, less than 1 year",Slave job,23-Nov-15, Sales Assistant,"Montreal, QC",25% discount and nothing more,"People are rude, sad, exhausted and with ugly faces all day. The worst enviroment I have ever work. Too much job, they want you have 10 hands. You never stop and they say you don't do your job properly. There are favouristisms. Some people just work at stockroom (with heavy boxes. Physical work) and others on the till like princess under the same job title (Sales Assistant)."
2,Former Employee,Zara Review,02-Dec-16, Sales & Stockroom Assistant,"London, England", 25% discount  Met some nice coworkers, Rotas done late so you can't plan social life  Lots of tasks to do in small amount of time  Have to come in to work 5 times a day even if you're part time  Uniform comes out of your commission & the trainers alone are £99.00
5,Current Employee,Very good company to work in if you're interested in fashion and trends.,08-Mar-15, Sales Associate,"London, England",You get so much opportunities and you can benefit so much from the company. I would highly recommend anyone to work there if they want a true career in fashion. The pay is really good for a part time job.,Not really a bad thing but it's a really busy store there's a lot to do but you get trained for it.
3,Current Employee,Interesting,08-Feb-16, Sales Assistant,"London, England",It seems a very comfortable and professional environment to work. Im sure that is a good option to get in to work world and win a lot of experience.,I've never work there to be able to say any con. I didnt have the opportunity to join their team to disagree with something.
4,"Former Employee, more than 3 years",Busy environment,23-Apr-20, Cashier/Sales Assistant,"Maidstone, England",Fast paced New lines twice a week 1 hour unpaid break and 20 mins paid tea break Christmas voucher and emplyee discount for all inditex Uniforms,"In summer months top floor is overheated because of malfunctioning air con, unrepairable. Rude customers Very often the company reduces amount of positions and the sales assistants are overloaded with work and not being able to look after the shopfloor properly."
5,"Current Employee, less than 1 year",Very good team on the shop floor and mutual respect between managers and workers,26-Nov-17, Sales Assistant,"London, England",Managers helpful in ensuring you are part of the team. Get a 25% for all Inditex brands. Many managers (80%) are hired internally so there are lots of opportunities for progression,"As Zara is a Spanish company, many of the Managers speak Spanish to each other which is unprofessional"
4,"Current Employee, more than 1 year",Fun enviorement but hard place to work,25-Feb-20, Sales Assistant,"London, England","Learning new customer service skills and how to be multitask during differentes things in a short time with a fast paced environment. If you work hard and show your interest and value in everyday life, they value it and there are real opportunities for job promotion in a short time.","Sometime its could be very stressful on sales season, unstable work schedules and managers who treat you badly."
3,Former Employee,It aint that bad but you need thick skin,01-Jan-15, Sales Assistant,"London, England","Pay is reasonable, get to interact with lot of ppl, retail experience which I guess gets you ready for life.","Short breaks, occasionally rude staff (severity depends on your personality, be prepared to take some shyt from other employees)."
3,"Current Employee, less than 1 year",It is not a place to be clever,22-Jun-19, Sales Assistant,"London, England","They paid well among most retailers, also give you voucher , nice holiday wages.","As sales assistant you don't have much fast route to go higher level, management not good as they don't employee clever people to work for them. It is just a fashion retail industry, you don't expect a lot if you have a degree."
4,"Former Employee, less than 1 year",Good retail experience,26-Jan-20, Sales Assistant,"Exeter, England",I was a cashier at Zara for just a few months before I moved abroad for work. I had a positive experience on the tills there with friendly and helpful colleagues. I worked parttime but there were enough opportunities for overtime and to swap shifts. Decent staff discount., Not the most comfortable uniform.  The use of PDQs with which you had to manually enter the amount due every single time.
4,"Current Employee, less than 1 year",Work-life balance,08-Oct-18, Sales Assistant,"London, England",A great opportunity to start developing your career. Everyone is friendly and helpful. Good salary and commission.,The store in White City is very busy and there are too many tasks to be performed at the same time. There is not enough staff to handle the large amount of customers efficiently hence why they become rude and inpatient.
1,"Former Employee, less than 1 year",Please do not apply to Zara High Street Kensington if you want to keep your sanity!,29-Jul-20, Cashier/Floor Sales,"London, England",discount (i guess that's the only pro).,Rude staff was the main problem. Managers had preferential treatment. Lack of diversity. Bullying in the workplace. lack of communication between staff and managers. Mangers did not listen to my concerns or issues and showed favouritism. Forced to do overtime whether you liked it or not. Forced to work 7day shifts without a day off as they choose when you can have it.
2,Former Employee,Zara does not treat their employees with respect. They expected us to work for longer without getting paid,24-Mar-10, Sales Associate,"London, England","Nice clothes, and wages just above the normal high street chain",poor employee discount unsociable hours fear of being off ill as repercusions are bad disciplinaries given for being ill 'bitchy' environment and favouritism to some employees
4,Current Employee,Store Manager could smile and care more,24-Dec-13,  ,None,"What pros? ERM.. Still waiting for that one. Besides, The team are really nice and help out a lot. Like close friends always helping each other.",Grumpy manager.. Could do with some more feedback about work performance.
4,"Former Employee, less than 1 year",Model for Spring Summer Campaign,05-Aug-15, Fashion Model,"London, England",They are a wonderful team and it's really easy and enjoyable to work with them. I learned from real good professionals and grew up with them for a while.,"It was just a SpringSummer campaign and we all knew it was going to end up soon, but we really got along and I have nothing to say against them."
5,Former Employee,My time at Zara,21-Sep-15, Anonymous Employee ,None,"Great staff, great ethics, good discount, one of the most popular retailers on the high street and good pay rates.",Very long hours – had to stay late many times to get the store ready for sales as well as clean up
4,"Former Employee, more than 1 year",Good,15-Jul-16, Cashier,"London, England","The pros of the company I can think about are the colleagues, the atmosphere sometimes, the pay and commissions, the staff discount.","There is more cons than pros but I can not remember all of them. The shift that can be long some days 12pm to 10pm sometimes, the atmosphere when you besties are not in and there is only managers, the organisations..."
1,"Former Employee, less than 1 year",Sales Assistant - Just don't!,15-Feb-17, Sales Assistant,"London, England"," I worked in London and things move pretty fast. You don't have to wait years to become a manager.  The team is super nice and we feel each other's pain.  The commission does help.  25% discount, especially good during sales.","Where to start? Be prepared for serious hard work. At Zara it's all about putting the product out in the shop floor, costumer service is not a priority AT ALL!  Managers shouting on the radio all the time, asking you to do the impossible. Always pushing you and pushing you until you can't take it anymore.  ""Running"" is the most common word in Zara stores, product must be available for customers to grab it and you have to run hundreds of items at the same time. Sometimes during your entire shift. Good luck if your in a big store where the shop floor area is huge, you'll end up doing a marathon by the end of the day.  20min break. So... nothing. I'd have to run if I wanted to eat and do something else.  Managers change the rota from one day to the other without even letting you know. A college was off on Monday and Tuesday, they changed the rota and she had to work on Tuesday and they didn't let her know. She didn't show up on Tuesday (had no way of knowing) and managers told her off.  If you work 7 hours, they only give you 20min break and not a full lunch hour.  overtime, overtime, overtime. Closing take hours and you never leave on time. Every closing. You get paid but you end up working until late.  Blame culture like I've never seen before. The store manager blames the department manager/floor managers, who blames the sales assistants. You're fine, as long as you have someone else to blame.  You get a funny look from managers if you put too much effort on costumer service.  No respect for personal life.  Salary is quite low.  Hard to communicate with colleagues that barely speak English, as in not knowing what ""hat"" means.  I'd go crazy if I didn't leave the company. Not good for your health, mental and physical. ******* I understand that this does not apply to every Zara store, but I do know it happened in mine on a daily basis."
5,"Current Employee, more than 3 years",commercial,06-Feb-18, Visual Merchandiser,"London, England",Great team that makes your job easier. Good basic salary with very generous bonus every month. 28 days of holiday per year. Promoting easily.,"Dealing with customer service is usually the worst part of this company. Every Zara store is a very busy store, and sometimes the customer service provided is not as good as we would like to. Working weekend is also a con in this company."
3,"Current Employee, less than 1 year",Sales floor assistant,06-Jun-19, Sales Associate,"Glasgow, Scotland",Very fast pace hours fly in Other sales assistant are very friendly and most managers,"Long awkward hours, feels like you’re never out of there No training just expect you to know how to do things a lot so when you do things wrong it bothers a lot of people"
1,"Former Employee, less than 1 year",Worst place to work. Ever.,06-Nov-13, Cashier ,None," Most of the colleagues were very nice to work with.  ""Staff discount of 15%"" (which, by the way, I actually never received. And is also less than VAT...)  The occasional, nice manager who will thank you for your work.  Commission depending on your overtime and if the store's targets are hit."," Too much overtime. Was told during training that they understand you have lives outside of work, but no, they don't. Overtime is mandatory and they are not understanding when you try to change shifts or have other commitments.  The requirement of having to be 10 minutes for every shift and not being paid for the extra 10 minutes. If you are late to the meeting, you get told off, but if managers are late, it's fine.  It's fine for sales assistants to chat with each other, but as soon as a cashier finishes the queue and tries to talk to another cashier, we are told off by the manager for standing around doing nothing, and not helping with the rest of the team.  If the manager above you doesn't like you, then you are out of luck. Anything you do is not good enough. You can be extremely friendly and polite to customers, and customers will be nice back, yet the manager will still have a go at you for having terrible customer service.  If you do well, and put in a lot of effort, it is not recognised. There is no encouragement or motivation. If you do something wrong, there is only criticism.  The pay is not that great for what is expected of you. There's commission, but then things such as the Zara shopping bags are bought for... using your commission.  You are contracted to work in a specific department, but sometimes they shift you to other departments when there's not enough staff. Worked in another department and a manager grabbed me by the arm and dragged me backwards with force to a coat that I had used the wrong hanger for to hang up. Very unprofessional."
4,"Former Employee, less than 1 year",It was alright! Fun but stressful,09-May-15, Sales Associate,"Birmingham, England",Discount was good and Friendly employees which made it a nice and fun place to work. Lloyd of hours available,Stressful place to work as it's always really busy and Standards have to be PERFECT so barely ever left on time.
3,"Current Employee, less than 1 year","Nice environment, stressful from time to time",20-May-16, Sales Assistant,"London, England","Salary is paid on time every time, with hours counted from the very first day. Managers can be very supportive if you stand out from the ""crowd"" and are not afraid of speak up.","Too many people, only few managers really know what they are doing."
1,"Former Employee, less than 1 year",DONT APPLY,28-Nov-17, Sales Assistant,"Stratford, London, England",absolutely nothing. WORST PLACE EVER TO WORK,"was the worst job i have ever had in my life. worked in the Stratford City Zara, Westfield  managers were horrible, shop floor was always a mess. i called in sick over 10 times in 2 months as i honestly hated going in to work. they love getting the commission and its all they care about. i cried twice whilst working there. honestly it isnt worth it. and even after when i left i had so much anger inside of me for 2 months. DONT DO THIS TO YOURSELF."
4,"Former Employee, more than 3 years",Opportunities for progression and fast-paced environment,24-Feb-20, Section Manager,"London, England",Can progress quickly with right attitude Stable company and recognized brand Salary ok,"Stores are understaffed Instore training could be better Hectic environment, cannot really focus on good customer service and helping customers as you have a massive workload to get on before the end of the day"
2,"Current Employee, less than 1 year",No work life balance,20-Oct-15, Anonymous Employee,"London, England",You meet a lot of lovely people also feeling the pain of working at zara. Pay is not bad for retail but you earn every penny..,Not a great discount Uncomfortable uniform Lots of shouting from management if you haven't done the task to zara standards. Shouted out if you spend too long without a customer. Long hours with no thanks from management
4,Current Employee,workin at zara,14-Mar-17, Sales Assistant,"London, England"," Amazing management team, always look after you and your development  Easy to develop in a different role  Good schedule, possible to combine with uni"," Sales assistants always have the same duties  Loads of needy customers  Sallary based on commision which could be amazing one month and very sad another, basic sallary is joke"
2,Former Employee,Sales Assistant,24-Mar-17, Sales Assistant,"London, England",real possibilities to grow in the company one of the biggest company in the world good for cv possibilities of exchanges in other countries good to start in the fashion industry overnights are double paid,"the majority of the staff is spanish the actual job is very hard and physically destroying management cold and often rude, they treat people like numbers and machines late shifts and long working hours compulsory overtime disgusting uniform only 25% discount"
1,"Former Employee, more than 1 year",The absolutely worst two years of my life,21-May-18, Cashier,"London, England"," you get to meet a lot of lovely and friendly people  staff discount for all Inditex companies if you are a student they will try to accommodate your schedule, beacuse of the 'Student Friendly company' they are. However it will be done with a fake smile and rather rude comments, whenever you will need any kind of favour with a day off or shift swap  don't even count on it you're already on a black list.","I was working parttime in Zara during my University. It was an absolutely horrendous and very upsetting experience. I would never recommend it to any of my friends. The management is ruthless and lacks the basic sense of humanity. There's a lot of cons that I could mention however the main are:  the lack of flexibility management does not respect you I experienced and saw it so many times  managers yell at you in front of the customers, not willing to help you out, boosting their ego on your failure or they simply take out all their anger or frustration on you, why? just because they can.  HR  totally uselless. Usually will not take your side. Takes ages for them to act on any issue, not to mention they do mistakes when it comes to counting up the montly hours and shifts at the end of each month, no harm but you don't get paid if they make a mistake. They don't understand the concept of 'confidentiality' policy  a lot of people shop in Zara, and yes the policy changes once in a while. However management changes it however they want and whenever it's convenient for them. I witnessed one of the managers refunding his husband's worn coat without proof of purchase and right credit card, just because he could do it closing shifts  usually two people on a closing shift duty  you have to basically do everything that was not managed to be done during the day. Did I mention taking out rubbish ? Yes, if you are the chosen one ( usually one of the cashiers either from a department with more cashiers or just the person who is not liked) have to go to the toilets on a top floor and take out all rubish bags that were changed and left by cleaninig team during the day, all boxes left after morning's delivery, sort them out and transport it down by lift on YOUR OWN. It's rather disgusting and dirty job to do, the plastic bags are leaking or have a holes in them. You usually stay extra 1520 min if no one wants to help you  no one usually does  everyone wants to get home asap. facilities management don't care is lift does not work. The store I used to work in had the stockroom on the top floor which meant if there was stock delivery that was usually roughtly 2030 heavy boxes per day it had to be transported by lift upstaris before the opening time. However, the lift was out of service for around one month and all those boxes and rails with clothes must have been transported by employees climbing 4 floors up and down the stairs. Management did not even help with the boxes  they were just rushing everybody 'cause it's opening time'.  sick  I saw so many people being bullied by their managers to come to work when they didn't feel well. It was disgusting  still they do it, why ? Because there's no one to cover the shop floor. If you have more than 3 (!) sick days in 6 months you get a disciplinary hearing where another manager bullies you for 2 hours straight, assuming you are lying and trying to prove it  I had a situation when one of the managers was Googling the medicines I was perscribed by GP in front of me to prove that I'm lying."
1,Former Employee,just bad,11-Sep-09, Sales Associate,"Bournemouth, England",seeing zara clothes... that's it.,"just an overall bad experience. you have to wear the worst outfit ever, which i can only compare to how you would feel in a prison outfit. you are designed to be a robot or a zabot... no personality, tiring, treated like a slave. working on a production line would be more rewarding. really sad as prior to this i really liked the brand. management are condescending and like the power. just don't work here......"
2,"Former Employee, less than 1 year","Employees are very ""clicky""",29-May-15, Sales Assistant,"London, England",Good hours Good money plus 1% commission Always over time 15% discount,"Tiring On your feet all day Must start 15 minutes before your shift and it's unpaid Other employees are usually Spanish or loofah and speak to eachother in their own language, very uncomfortable for English staff Managers don't smile and aren't welcoming Uncomfortable atmosphere"
1,"Former Employee, less than 1 year",Sales Assistant at Zara Oxford Street,13-Jun-17, Sales Assistant,"London, England","As a part time position the money is ok. However, I would not recommend for a full time position as I do not believe the money is enough to sustain yourself. The schedule was ok, mostly in the afternoons and evenings which allowed me to study as well. However, due to the fact that that it was so busy and that we were almost always required to work over time, it was physically and mentally exhausting, therefore making it very difficult to balance working with studying. The managers were always very pleasant, encouraging and helpful. They always to took the time to speak to me and answer any of my questions.","The worst part however are the coworkers. They are extremely rude, inconsiderate and manipulative. I have been given a brief introduction of my duties however nobody bothered to answer my questions along the way, despite the fact that they were always castigating me to ask for help more often. The staff did not posses a good command of the English language and it was very hard for me to maintain communication with them. In addition to this, I have noticed that they liked to put other people down and often publicly humiliate them in order to perhaps feel that they are better in a way (I mean a bunch of sales assistants a started laughing at me within my earshot because I did not fold some jeans ""their way"", when nobody has ever told me how they want me to do it exactly) . Keep in mind that this was coming from other sales assistants, and not from the managers who understandably did not have the time or any incentive to engage in such petty acts. Overall, I left like I had been bullied, ignored and often talked about behind my back for no good reason other than the entertainment of the other sales assistants. The girls especially seemed to be very unfriendly towards me (as a girl) from the start, very catty and very deceitful. Also, and this is a big point, as most of them were from Spain they were always speaking in Spanish during work and if you were not speaking their language more often than not they simply could not be bothered to speak with you, to help you or to engage with you in any way. I would not recommend to anyone unless you are willing to tolerate / engage with such behaviour."
1,"Former Employee, less than 1 year",The most AWFUL place to work,05-Nov-19, Sales Assistant,"Sheffield, England",Paid more than minimum wage. Could use the 25% discount across all Inditex brands,"The store is absolute CHAOS, but for no reason? I have never seen any other clothing store in as much chaos or in as much of a mess as Zara is on any normal day, even when other shops are busier. The folded clothes on tables really add to the MESS. Other members of staff aren't particularly friendly and the management treat you like rubbish. There is no praise in any shape of form or any acknowledgement for doing anything well, the only communication there is is negative with management telling you off over the radio so every other employee can hear (very unprofessional). You tend to be doing the same thing all shift, which gets very repetitive and it means you'll be stressed out the whole shift if you know its busy in store (which it always is). New starters are always shoved into the fitting rooms, which is one of the most stressful jobs. You are told by management to ask for help if you need it, but then when you ask they refuse to help you and tell you off for being too slow. But then when you don't ask they come over and check they ask you why you didn't ask for help? Makes sense doesn't it :) Overall, too much is expected from you, and you are treated so badly. Why work for Zara when you could work for a different clothing brand with better perks, better staff and better management? Breaks are only 20 minutes if you work for 6 hours and the staff room is so small that there is nowhere to sit and if the room is full its so intimidating to even go in there. On my first shift I was told that working at Zara was all about speed rather than providing a good customer service. This is 100% true. You were forced to give bad customer service because how management would treat you for not doing what they told you to do fast enough, even though the role of a sales assistant should be to provide a great customer service. This was impossible to do, which adds to the stereotype of Zara employees being the rudest people. I genuinely dreaded every single shift, so please take my advice and don't work here."
2,Former Employee,be prepared,14-Sep-15,  ,None,"pay good, discount is only good when onto of sales, some other sale associates are extremely helpful when you start out. Great variety of people","Managers need extra training are no help at all, too much expected, high turn over of staff, allocation of hours are all over the place"
1,Current Employee,Somewhat toxic environment.,13-Nov-16, Commercial,"London, England","The training for any sort of management gives you a lot of knowledge. Did training as a Visual Merchandiser, and you get taught everything from how to do orders, to how to style mannequins, and product knowledge. Very fashionforward company, so you are constantly surrounded by the latest trends.","Promotes an unhealthy management policy where people hoping to become managers are more or less encouraged to do it by undermining coworkers. Very stressful, and hours are constantly cut so that the company can make more money, which affects the people working, and burning them out."
3,Current Employee,Good for sale assistants,22-Jan-17, Sale Associate,"London, England",good discount for employees and good salary for sale assistant.,Long hours especially over sale period. Customers are really rude and no understanding at all. Staff which working longer got too confident and are fussy about everything giving you to understand they not gonna do worse job.
3,Former Employee,"Great staff, bad management",04-Oct-17, Anonymous Employee ,None,"Great staff, really good socially and you will have lots of fun. Understaffed a lot of the time.",Rubbish management area management horrible to staff and put lots of pressure on management which is then passed on to staff.
1,"Current Employee, more than 3 years",Floor Manager,28-Nov-17, Floor Manager,"London, England","You get to learn and improve valued skills, after working for Zara (or any other brand from Inditex) It opens a lot of doors for other companies (specially within fashion retail), it’s one of those places that either makes you or breaks you and if it makes you you’ll be amazing for as long as you want to stay there, good pay comparing to other stores, £500 worth of clothes split in 6 months for free, work pension, good commission specially during Christmas","Never enough hours, too demanding, rotas keep changing every 12 days, hard to get a day off granted, work pretty much every weekend, overtime even if you dont want it, some months you cant even get paid overtime, regionals are so full of themselves and think they are untouchable and rude in general, bad and long faces all around from the tiredness everyone goes through, customers can be either bad or really good (mostly bad), customers dont show any simpathy at all with you, never seen a company that messy, you accept all the managers regionals ask you but as soon you do something bad or ask for something you get told off or treated badly about it, unless the superior managers like you you wont get far at all, too nosey environment, high turn over of employees, rules only seem to be applied to hard working and honest people, bad communication in general (specially between stores and Head Office), work sundays and bank holidays even if you dont want, many times you’re made to work without the legal 11 minimum of hours of sleep even without asking your permision to do so, favouritism all the day from the top, people forget they are working with other humans beings..."
1,"Former Employee, more than 1 year","I'm leaving a review for future people who are consider working here, SHOULDN'T.",19-Jan-18, Cashier/Sales Assistant ,None,The discount And fortunately I had some really wonderful people to work with. (but that is not the case everywhere) Training was very helpful. You learn about everything in the store.,"Notice how there are more cons than pros. Rota: There is no way to have a life because you are constantly on the look out to see if your time is being changed EVERYDAY. For example if a person is wanting to work for 20 hours they will have to work 4 hours of 5 days out of the week. and the times can range from 91, 15, 37. No week is the same. You cannot work parttime and expect it to be condensed to two and a half days. It will never happen because there are not enough people to cover everyone's shift. But despite that reason, it won't happen because it allows the company to tax avoid if they give people short hours to work during the day because it is a daily commission. TIME:You do not get paid if you work 15 minutes before hand because you are assigned an allocated time. And you also get a warning if you are more than 2 minutes late for your shift. Yet it's ironic you do not get payed extra for the 15 minutes you work before hand. You have to be aware especially when signing in your hours, if you don't sign the end of day sheet then you do not get paid for that day. Many times I had to ask to get the sheet printed to make sure of payment. Even then it is still not guaranteed that you will get paid correctly as I had to speak with the manager to ensure my hours were correct and unsurprisingly they were not. Manager was very rude and assumed I was lying about my own hours. You check a commission sheet that is printed on the board every week to see if hours are correct. It feels really disorganised and messy to see that a piece of paper hung on a board is the sheet that is the confirmation to your hours. This isn't to do with Zara personally(it could happen in other retail places), but you need to have a high tolerance level of customers. Customers are disrespectful to the store, dumping clothes on the floor and being incredibly rude to staff. The pay to top it off is not good for how much people tolerate and are expected to do. I hope you take into consideration and do not experience what I went through whilst working at Zara. The stars left blank were not personal to me to have an opinion."
1,"Former Employee, less than 1 year",Sales assistant,07-Apr-18, Sales Assistant,"Stratford, London, England",Only pro that I mentioned about this company is that they give you fruits from a fruit basket that gets delivered weekly,"Slave driving work loads,if your late they interrogate you like police officers. If you want to join this company for fashion experience DONT there is no fashion experience here. People speak to each other in there own language so people tend to say In there own groups...if you enjoy working like a robot then apply to work here."
1,"Former Employee, more than 1 year",Commercial,07-May-19, Anonymous Employee ,None,There are no pros. Everyday I worked at this company is a day of my life I will never get back and time I regret spending in this fast fashion brand.,"anti social hours Rota not worked out in advance so no idea when days off were until quite short notice Rotas changed around frequently and night shifts put in at short notice very stressed out and angry management team horrible communication style disparaging remarks, sarcastic comments and general annoyance and anger expressed indirectly and in an non constructive and unprofessional manner, managers employing family members and friends of family and treating them very differently such as: making sure they don't have the ""bad"" shifts on sundays and generally weekend shifts, also if they are seen making a mistake are not made aware of their fault in the same way other members of staff are no positive feedback abhorrent and malicious atmosphere probably because of the targets imposed on managers but communicated terribly to other members of staff no understanding of sickness or personal issues, expected to work through being ill and not treated in a professional manner in regards to sick days"
4,"Former Employee, more than 1 year",Good pay,02-Dec-19, Sales Assistant,"London, England",Working for Zara has some pros and cons. The pay is very good considering you get commission on top of your salary. You also get your discount which is fairly good as well.,It gets very busy and hectic during the sale periods.you also have to compromise with the working hours as you are most likely to be asked to do overtime during busy seasons.
4,"Former Employee, less than 1 year",Good but hard work,22-Apr-20, Sales Assistant,"Manchester, England",Good pay as you get commission and paid for the extra hours you work and you get discounts and get to see collections before customers.,Hard work and long hours.
3,Current Employee,Extreme capitalism,06-Feb-16, Sales Assistant,"Manchester City Centre, England",Good Salary. You can adapt your timetables to you studies or alternative job. The commission is fine.,You are just a tool. They don't give you a training but they complain if you make a mistake. Your manager can be difficult to get on well (not in my case)
3,Current Employee,Sales Associate at Zara,24-Jul-18, Anonymous Employee ,None,Schedule is posted consistently and isn't randomly altered Training occurs immediately and is thorough re: systems and procedures IT system is easier to use and is more integrated than in other retail brands,Favouritism (or dislike) from managers can stall promotions despite experience
1,Current Employee,Worst job ever,19-Jul-13,,None,staff are friendly the pay isnt bad,"where do i start? managers always speaking to each other in spanish in front of you. disrespectful induction for 5 mins about the store and then expect you to know how to do everything do one thing wrong and they shout at you even though its their fault for not teaching you uniform is horrible especially the shoes, not comfortable favoritism from managers towards spanish speaking staff compared to others"
1,"Former Employee, more than 1 year",DO NOT WORK FOR THIS COMPANY,23-Oct-13, Senior Manager,"Birmingham, England",The best thing about this company is when you leave and look back on what a terrible experience it was. DO NOT WORK HERE !!!!!!!!!!,"Not a great atmosphere area manger was toxic would come into store scream at everyone,expect you to work long hours contracted for 40 hours work about 6570, Area manger would come in and say' I don't like her get rid now' One of the worst experiences of my career"
4,"Former Employee, less than 1 year",Prepare to work in a very fast paced environment,11-Jun-16, Sales Assistant,"London, England",25% of merchandise pay is great if youre within the M25 10% commission You can go up in the company if youre working full time. Very easy to develop a career with the company.,Not much say in shift patterns Must be flexible (messes with university) Some of the staff just dont get along VERY FAST PACED
3,"Former Employee, more than 3 years",Alright,25-May-18, Visual Merchandiser,"Kingston upon Thames, England","Meet new people, get to learn new things, shifts are alright, management can be ok.","Doesn't pay that great, the majority of management speak Spanish on the floor (the ones that are Spanish of course) this also includes your regional managers who are usually unfriendly. During sales can be long and tiring hours."
3,"Former Employee, less than 1 year",Zara sales team,10-Sep-14, Sales Team,"Manchester, England",Friendly staff with good staff discount.Lots of help provided during initial training. The hours can be flexible if you need more hours you just ask.,Average wage and its hard to get noticed and move up in the company as they have so many employees. Its sometimes hard to get shifts also as they have too many employees.
2,"Former Employee, less than 1 year",You take this job out of desperation.,12-Jan-15, Cashier,"London, England","Pays very well because they have regular employee turn over. After I left, I came back to see a friend after 2 months and everyone had been replaced..",Isolating Horrible hrs My assistant manager had a major ego trip and had a customer outwardly defend me because she spoke to me so bad.
1,"Current Employee, more than 1 year",Never ever come to this company,31-May-15, Sales Associate,"London, England","commission based, provide uniform","extremely rude managers, always support Spanish oriented staff and look down at you and embarrass you for silly mistakes if you are not Spanish. They form spanish groups and speak ill behind your back. No personal life if you work here."
2,"Current Employee, more than 1 year",Delivery Supervisor,03-Sep-15, Delivery Supervisor,"London, England","25% discount, not so bad payment.","Always less people working that the ones you actually need... managers think they're perfect and if something is wrong is absolutely your fault, not theirs..."
4,"Current Employee, less than 1 year",Hectic but enjoyable as long as you're good at your job,22-Feb-16, Sales Associate/Cashier,"Leicester, England",Good discount Get to pick good clothes before customers Staff are friendly Easy to talk to managers Always something new to do,Difficult customers Overwhelming sometimes during busy hours Tills can be difficult to get a grasp of Discrepancies are easy to get and can be difficult to fix
4,"Former Employee, more than 1 year",Generally positive but some drawbacks,24-Nov-14, Sales Associate,"Telford, England",Encouraged to learn all the time. Good prospects to progress. Friendly environment. Pay was good for basic job,Negative management tactics. Store was somewhat neglected by head office. Hours changed without notification
